manual_review
sofifa_id,statsbomb_id,statsbomb_name,statsbomb_name_norm,short_name,long_name,player_positions,club_name,shooting,attacking_heading_accuracy,preferred_foot,weak_foot
163083,19813.0,{'Rolando Jorge Pires da Fonseca'},rolando jorge pires da fonseca,Rolando,Rolando Jorge Pires da Fonseca,CB,Olympique de Marseille,42,81,Right,2
211300,20039.0,{'Anthony Martial'},anthony martial,A. Martial,Anthony Jordan Martial,"LM, ST",Manchester United,76,72,Right,4
231640,20063.0,{'Javier Ontiveros Parra'},javier ontiveros parra,Javi Ontiveros,Javier Ontiveros Parra,RM LM,Málaga CF,50,32,Right,3
169697,20066.0,{'Darren Randolph'},darren randolph,D. Randolph,Darren Edward Andrew Randolph,GK,West Ham United,20,16,Right,3
138726,20285.0,{'Joleon Lescott'},joleon lescott,J. Lescott,Joleon Patrick Lescott,CB,Aston Villa,48,82,Left,3
159145,20521.0,{'Bafétimbi Gomis'},bafetimbi gomis,B. Gomis,Bafétimbi Fredius Gomis,ST,Swansea City,80,81,Right,3
182763,20543.0,{'Nikica Jelavić'},nikica jelavic,N. Jelavić,Nikica Jelavić,ST,West Ham United,74,77,Right,4
231205,20950.0,{'Yanni Regäsel'},yanni regasel,Y. Regäsel,Yanni Regäsel,RB,Eintracht Frankfurt,33,45,Right,3
224526,20951.0,{'Jordan Lyden'},jordan lyden,J. Lyden,Jordan David Lyden,CM,Aston Villa,50,61,Right,3
216299,22058.0,{'Connor Steven Randall'},connor steven randall,C. Randall,Connor Steven Randall,"RB, CM",Liverpool FC,53,30,Right,4
190276,23203.0,{'Stopilla Sunzu'},stopilla sunzu,S. Sunzu,Stoppila Sunzu,CB,Lille OSC,39,72,Right,2
181402,23241.0,{'William Vainqueur'},william vainqueur,W. Vainqueur,William-Jacques Vainqueur,"CDM, CM",AS Roma,59,58,Right,3
177392,23663.0,{'Dieumerci Mbokani Bezua'},dieumerci mbokani bezua,D. Mbokani,"Dieudonné ""Dieumerci"" Mbokani Bezua",ST,Norwich City,75,79,Right,3
204135,23994.0,{'Alejandro Menéndez Díez'},alejandro menendez diez,Álex Menéndez,Alejandro Menéndez Díez," LB, LM",Real Sporting de Gijón,62,53,Left,3
211671,24453.0,{'Josip Radošević'},josip radosevic,J. Radošević,Josip Radošević,"CDM, CM",SD Eibar,49,60,Right,3
208384,24646.0,{'Rafidine Abdullah'},rafidine abdullah,R. Abdullah,Rafidine Abdullah,CDM,FC Lorient,52,59,Right,3
231873,24782.0,{'Jonhatan Montiel Caballero'},jonhatan montiel caballero,Joni Montiel,Jonathan Montiel Caballero,CAM,Rayo Vallecano,51,45,Left,2
230885,25152.0,{'Bruno Henrique Pinto'},bruno henrique pinto,Bruno Henrique,Bruno Henrique Pinto,"RW, ST, RM",VfL Wolfsburg,70,65,Right,3
180432,25345.0,{'Anderson Hernanes de Carvalho Andrade'},anderson hernanes de carvalho andrade,Hernanes,Anderson Hernanes de Carvalho Viana Lima,"CAM, CM",Juventus FC,77,51,Right,5
180175,25351.0,{'Alexandre Rodrigues da Silva'},alexandre rodrigues da silva,Alexandre Pato,Alexandre Rodrigues da Silva,ST,Chelsea FC,78,73,Right,3
135475,25430.0,{'Felipe Melo de Carvalho'},felipe melo de carvalho,Felipe Melo,Felipe Melo de Carvalho,"CDM, CM",Inter Milan,71,83,Right,3
142822,25997.0,{'Jonás Manuel Gutiérrez'},jonas manuel gutierrez,J. Gutiérrez,Jonás Manuel Gutiérrez,LM,RC Deportivo de La Coruña,69,63,Right,3
147004,26211.0,{'Joan Verdú Fernández'},joan verdu fernandez,Verdú,Joan Verdú Fernández,"CAM, CM, RM",Levante UD,72,54,Right,3
146121,26248.0,{'David Barral Torres'},david barral torres,David Barral,David Barral Torres,ST,Granada CF,74,73,Right,3
53050,26699.0,{'Emmanuel Adebayor'},emmanuel adebayor,E. Adebayor,Sheyi Emmanuel Adebayor,ST,Crystal Palace,78,80,Right,3
168630,26752.0,{'Mouhamadou Dabo'},mouhamadou dabo,M. Dabo,Mouhamadou Dabo,"LB, RB",ESTAC Troyes,55,63,Right,3
215056,27595.0,{'Carlos Mario Carbonero Mancilla'},carlos mario carbonero mancilla,C. Carbonero,Carlos Mario Carbonero Mancilla,"CM, RM", Sampdoria,71,48,Right,4
188058,27639.0,{'Artem Kravets'},artem kravets,A. Kravets,Artem Kravets,ST,VfB Stuttgart,70,74,Right,3
176605,29312.0,{'Pablo Estífer Armero'},pablo estifer armero,P. Armero,Pablo Estifer Armero,"LB, LM",Udinese Calcio,69,52,Left,2
208585,29875.0,{'Axel Ngando'},axel ngando,A. Ngando,Axel Thomas Ngando Elessa," CAM, CM",SC Bastia,68,54,Left,3
187339,30847.0,{'Jiloan Hamad'},jiloan hamad,J. Hamad,Jiloan Mohamed Hamad,"RM, CAM",TSG 1899 Hoffenheim,66,22,Right,3
179973,31268.0,{'Michel Morganella'},michel morganella,M. Morganella,Michel Morganella,"RM, RB",Palermo FC,54,59,Right,3
194953,31625.0,{'Johan Martial'},johan martial,J. Martial,Johan Martial,CB,ESTAC Troyes,29,66,Right,3
