shot_aerial_won,shot_first_time,shot_statsbomb_xg,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle,shooting
0,0,0.14443657,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,108.7,50.6,0.21975522387009847,0.1220730977246737,0.4424778761061947
0,1,0.49451068,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,114.5,35.8,0.09297957029210076,0.30036902453728276,0.6194690265486726
0,0,0.06821079,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,107.3,30.8,0.2225442306924713,0.13244094710542312,0.8849557522123894
0,1,0.13439108,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,108.0,48.2,0.20556757321280988,0.14546367688636772,0.486725663716814
1,0,0.23137365,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,113.6,40.0,0.08528633477096208,0.35561536897870527,0.6814159292035398
0,0,0.35746992,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,112.4,36.7,0.11316820125791223,0.2728274719360544,0.6814159292035398
0,0,0.052029558,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,110.6,55.1,0.2536661075898957,0.07808634067743148,0.8849557522123894
0,0,0.020304073,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,106.6,25.1,0.28697326925285255,0.08631956924162518,0.6814159292035398
0,1,0.031531822,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,108.5,55.3,0.2736765244263541,0.0817431863112138,0.6991150442477876
1,0,0.045988224,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.2,40.5,0.15052145468623324,0.225422389448151,0.4336283185840708
1,0,0.041074086,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.1,37.2,0.15706217242810752,0.21244778645277448,0.8938053097345133
0,1,0.16320802,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,114.6,31.4,0.1408096665429423,0.14652961525695934,0.6991150442477876
0,0,0.04102502,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,102.1,52.4,0.31264744956009577,0.09642509318076438,0.5398230088495575
1,0,0.06631777,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,108.7,38.3,0.15962440127061958,0.21262402358641672,0.8938053097345133
1,0,0.05533009,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109.6,39.2,0.14488980474103327,0.23265483076602375,0.8849557522123894
0,1,0.49856853,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,113.9,41.1,0.0823050238246036,0.3629150495401759,0.8849557522123894
0,0,0.013416295,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,112.3,55.4,0.24525111471459315,0.06882291768112442,0.7079646017699115
0,0,0.047341608,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,103.1,52.4,0.3006063047096703,0.09839160117354599,0.7079646017699115
