player_id,statsbomb_name,statsbomb_name_norm,fifa_player_name,fifa_name_norm,match_score
3296.0,Marouane Fellaini-Bakkioui,marouane fellaini bakkioui,Marouane Chamakh,marouane chamakh,85.5
3296.0,Marouane Fellaini-Bakkioui,marouane fellaini bakkioui,Allan,allan,72.0
3296.0,Marouane Fellaini-Bakkioui,marouane fellaini bakkioui,Arouna Koné,arouna kone,66.50000000000001
3294.0,Juan Manuel Mata García,juan manuel mata garcia,Aleix García,aleix garcia,85.5
3294.0,Juan Manuel Mata García,juan manuel mata garcia,Manu García,manu garcia,85.5
3294.0,Juan Manuel Mata García,juan manuel mata garcia,Juan Mata,juan mata,85.5
3294.0,Juan Manuel Mata García,juan manuel mata garcia,Manuel Lanzini,manuel lanzini,85.5
3294.0,Juan Manuel Mata García,juan manuel mata garcia,Juanmi,juanmi,75.00000000000001
36983.0,Juan Carlos Paredes Reasco,juan carlos paredes reasco,Juan Carlos Paredes,juan carlos paredes,95.0
36983.0,Juan Carlos Paredes Reasco,juan carlos paredes reasco,Carlos Sánchez,carlos sanchez,85.5
36983.0,Juan Carlos Paredes Reasco,juan carlos paredes reasco,Juan Mata,juan mata,85.5
36983.0,Juan Carlos Paredes Reasco,juan carlos paredes reasco,Juanmi,juanmi,72.0
5198.0,Diego da Silva Costa,diego da silva costa,Diego Costa,diego costa,85.5
5198.0,Diego da Silva Costa,diego da silva costa,David Silva,david silva,85.5
5198.0,Diego da Silva Costa,diego da silva costa,Diego Poyet,diego poyet,85.5
40122.0,Oscar dos Santos Emboaba Júnior,oscar dos santos emboaba junior,Oscar,oscar,90.0
40122.0,Oscar dos Santos Emboaba Júnior,oscar dos santos emboaba junior,Junior Stanislas,junior stanislas,85.5
40122.0,Oscar dos Santos Emboaba Júnior,oscar dos santos emboaba junior,Ilori,ilori,67.5
40122.0,Oscar dos Santos Emboaba Júnior,oscar dos santos emboaba junior,Moha,moha,67.5
3603.0,Mame Biram Diouf,mame biram diouf,Mame Diouf,mame diouf,85.5
3603.0,Mame Biram Diouf,mame biram diouf,Sam Byram,sam byram,70.00000000000001
5264.0,Guillermo Varela Olivera,guillermo varela olivera,Guillermo Varela,guillermo varela,90.0
3843.0,Angelo Obinze Ogbonna,angelo obinze ogbonna,Angelo Ogbonna,angelo ogbonna,85.5
3843.0,Angelo Obinze Ogbonna,angelo obinze ogbonna,Angeliño,angelino,77.14285714285715
3515.0,Alberto Moreno Pérez,alberto moreno perez,Alberto Moreno,alberto moreno,95.0
3515.0,Alberto Moreno Pérez,alberto moreno perez,Ayoze Pérez,ayoze perez,85.5
4747.0,Divock Okoth Origi,divock okoth origi,Divock Origi,divock origi,85.5
13248.0,Eunan O''Kane,eunan o''kane,Eunan O'Kane,eunan o'kane,96.0
6300.0,Sebastián Coates Nión,sebastian coates nion,Sebastián Coates,sebastian coates,95.0
6300.0,Sebastián Coates Nión,sebastian coates nion,Sebastian Larsson,sebastian larsson,73.6842105263158
6300.0,Sebastián Coates Nión,sebastian coates nion,Sebastian Prödl,sebastian prodl,71.25
6300.0,Sebastián Coates Nión,sebastian coates nion,Sébastien Bassong,sebastien bassong,68.42105263157895
6300.0,Sebastián Coates Nión,sebastian coates nion,Sébastien Pocognoli,sebastien pocognoli,65.0
15996.0,Éderzito António Macedo Lopes,ederzito antonio macedo lopes,Antonio Valencia,antonio valencia,85.5
15996.0,Éderzito António Macedo Lopes,ederzito antonio macedo lopes,Michail Antonio,michail antonio,85.5
3347.0,André Ayew Pelé,andre ayew pele,André Ayew,andre ayew,90.0
3347.0,André Ayew Pelé,andre ayew pele,Andreas Pereira,andreas pereira,66.66666666666667
3347.0,André Ayew Pelé,andre ayew pele,SandroL,sandrol,65.45454545454547
3605.0,Sung-Yeung Ki,sung yeung ki,Ki Sung Yueng,ki sung yueng,87.6923076923077
3944.0,Gylfi Þór Sigurðsson,gylfi or sigursson,Gylfi Sigurðsson,gylfi sigursson,95.0
3272.0,Oriol Romeu Vidal,oriol romeu vidal,Oriol Romeu,oriol romeu,90.0
3272.0,Oriol Romeu Vidal,oriol romeu vidal,Ilori,ilori,67.5
9578.0,Jonathan Howson,jonathan howson,Nathan,nathan,90.0
9578.0,Jonathan Howson,jonathan howson,Jonny Howson,jonny howson,81.4814814814815
9578.0,Jonathan Howson,jonathan howson,Jonathan Maddison,jonathan maddison,75.0
9578.0,Jonathan Howson,jonathan howson,Jonathan Leko,jonathan leko,72.38095238095238
9578.0,Jonathan Howson,jonathan howson,Jonathan Walters,jonathan walters,70.96774193548387
4804.0,Bradley Johnson,bradley johnson,Glen Johnson,glen johnson,74.07407407407408
4804.0,Bradley Johnson,bradley johnson,Bradley Collins,bradley collins,73.33333333333334
4804.0,Bradley Johnson,bradley johnson,Bradley Watkins,bradley watkins,66.66666666666667
4804.0,Bradley Johnson,bradley johnson,Reece Hall-Johnson,reece hall johnson,66.66666666666667
3498.0,Ignacio Monreal Eraso,ignacio monreal eraso,Nacho Monreal,nacho monreal,85.5
5581.0,Joel Nathaniel Campbell Samuels,joel nathaniel campbell samuels,Nathan,nathan,90.0
5581.0,Joel Nathaniel Campbell Samuels,joel nathaniel campbell samuels,Joel Campbell,joel campbell,85.5
5581.0,Joel Nathaniel Campbell Samuels,joel nathaniel campbell samuels,Fraizer Campbell,fraizer campbell,85.5
5581.0,Joel Nathaniel Campbell Samuels,joel nathaniel campbell samuels,Joel Ward,joel ward,85.5
5581.0,Joel Nathaniel Campbell Samuels,joel nathaniel campbell samuels,Joel Robles,joel robles,85.5
3602.0,Faustino Marcos Alberto Rojo,faustino marcos alberto rojo,Alberto Moreno,alberto moreno,85.5
3602.0,Faustino Marcos Alberto Rojo,faustino marcos alberto rojo,Marcos Rojo,marcos rojo,85.5
3602.0,Faustino Marcos Alberto Rojo,faustino marcos alberto rojo,Alberto Paloschi,alberto paloschi,85.5
3602.0,Faustino Marcos Alberto Rojo,faustino marcos alberto rojo,Marc Albrighton,marc albrighton,66.00000000000001
6821.0,Jesús Navas González,jesus navas gonzalez,Jesús Navas,jesus navas,90.0
3538.0,Wayne Mark Rooney,wayne mark rooney,Wayne Rooney,wayne rooney,95.0
3538.0,Wayne Mark Rooney,wayne mark rooney,Mark Bunn,mark bunn,85.5
3538.0,Wayne Mark Rooney,wayne mark rooney,Mark Noble,mark noble,85.5
3456.0,Kurt Happy Zouma,kurt happy zouma,Kurt Zouma,kurt zouma,85.5
5602.0,Cristian Gamboa Luna,cristian gamboa luna,Cristian Gamboa,cristian gamboa,95.0
5602.0,Cristian Gamboa Luna,cristian gamboa luna,Cristian Manea,cristian manea,76.47058823529412
5602.0,Cristian Gamboa Luna,cristian gamboa luna,Moha,moha,67.5
16890.0,John O''Shea,john o''shea,John O'Shea,john o'shea,95.65217391304348
16890.0,John O''Shea,john o''shea,Josh Sheehan,josh sheehan,66.66666666666667
3037.0,Mousa Sidi Yaya Dembélé,mousa sidi yaya dembele,Yaya Sanogo,yaya sanogo,85.5
3037.0,Mousa Sidi Yaya Dembélé,mousa sidi yaya dembele,Yaya Touré,yaya toure,85.5
3037.0,Mousa Sidi Yaya Dembélé,mousa sidi yaya dembele,Moussa Dembélé,moussa dembele,85.5
3037.0,Mousa Sidi Yaya Dembélé,mousa sidi yaya dembele,Moussa Sissoko,moussa sissoko,65.45454545454547
3960.0,José Miguel da Rocha Fonte,jose miguel da rocha fonte,José Enrique,jose enrique,85.5
3960.0,José Miguel da Rocha Fonte,jose miguel da rocha fonte,José Fonte,jose fonte,85.5
3960.0,José Miguel da Rocha Fonte,jose miguel da rocha fonte,Jose Holebas,jose holebas,85.5
3960.0,José Miguel da Rocha Fonte,jose miguel da rocha fonte,Joselu,joselu,72.0
3960.0,José Miguel da Rocha Fonte,jose miguel da rocha fonte,Moha,moha,67.5
3445.0,Radamel Falcao García Zárate,radamel falcao garcia zarate,Falcao,falcao,90.0
3445.0,Radamel Falcao García Zárate,radamel falcao garcia zarate,Aleix García,aleix garcia,85.5
3445.0,Radamel Falcao García Zárate,radamel falcao garcia zarate,Manu García,manu garcia,85.5
3445.0,Radamel Falcao García Zárate,radamel falcao garcia zarate,Adama,adama,72.0
3437.0,Francis Joseph Coquelin,francis joseph coquelin,Francis Coquelin,francis coquelin,95.0
3437.0,Francis Joseph Coquelin,francis joseph coquelin,Simon Francis,simon francis,85.5
42699.0,Gabriel Imuetinyan Agbonlahor,gabriel imuetinyan agbonlahor,Gabriel,gabriel,90.0
42699.0,Gabriel Imuetinyan Agbonlahor,gabriel imuetinyan agbonlahor,Gabriel Agbonlahor,gabriel agbonlahor,85.5
42699.0,Gabriel Imuetinyan Agbonlahor,gabriel imuetinyan agbonlahor,Gabriel Obertan,gabriel obertan,85.5
4416.0,Max-Alain Gradel,max alain gradel,Max Gradel,max gradel,85.5
4416.0,Max-Alain Gradel,max alain gradel,Allan,allan,72.0
3654.0,Daniel William John Ings,daniel william john ings,Daniel Crowley,daniel crowley,85.5
3654.0,Daniel William John Ings,daniel william john ings,John Obi Mikel,john obi mikel,85.5
3654.0,Daniel William John Ings,daniel william john ings,John Swift,john swift,85.5
3654.0,Daniel William John Ings,daniel william john ings,John Terry,john terry,85.5
3654.0,Daniel William John Ings,daniel william john ings,John Stones,john stones,85.5
3254.0,Florian Thauvin,florian thauvin,Ilori,ilori,72.0
6870.0,José Manuel Jurado Marín,jose manuel jurado marin,Jurado,jurado,90.0
6870.0,José Manuel Jurado Marín,jose manuel jurado marin,José Enrique,jose enrique,85.5
6870.0,José Manuel Jurado Marín,jose manuel jurado marin,José Fonte,jose fonte,85.5
6870.0,José Manuel Jurado Marín,jose manuel jurado marin,Jose Holebas,jose holebas,85.5
6870.0,José Manuel Jurado Marín,jose manuel jurado marin,Manuel Lanzini,manuel lanzini,85.5
3044.0,Chancel Mbemba Mangulu,chancel mbemba mangulu,Chancel Mbemba,chancel mbemba,90.0
23663.0,Dieumerci Mbokani Bezua,dieumerci mbokani bezua,Dieumerci Mbokani,dieumerci mbokani,95.0
