location,player,player_id,position,shot_aerial_won,shot_first_time,shot_statsbomb_xg,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,x,y,distance,angle
"[99.8, 26.2]",Jordan Ayew,3450.0,Left Wing,0,0,0.037333004,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,99.8,26.2,24.46385088247556,15.505845577927508
"[106.2, 32.0]",Joleon Lescott,20285.0,Left Center Back,1,0,0.022696165,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,106.2,32.0,15.951175505272328,24.844587749313305
"[92.7, 30.1]",Carlos Alberto Sánchez Moreno,5685.0,Center Defensive Midfield,0,1,0.014562625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,92.7,30.1,29.039628096792146,14.788211456676404
"[107.7, 44.0]",Ruben Loftus-Cheek,3504.0,Center Attacking Midfield,0,1,0.1239795,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,107.7,44.0,12.934063553268938,33.040237778069226
"[112.1, 29.4]",Carles Gil de Pareja Vicent,6800.0,Right Wing,0,0,0.27286983,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,112.1,29.4,13.220060514233667,21.705527478111065
"[98.3, 28.5]",Jordan Ayew,3450.0,Left Wing,0,0,0.06871695,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,98.3,28.5,24.558908770545976,16.471396069408165
"[113.4, 27.3]",Abdul Rahman Baba,12325.0,Left Back,0,1,0.10231979,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,113.4,27.3,14.312581877495056,15.620299873713556
"[96.4, 34.1]",Jordan Ayew,3450.0,Left Wing,0,0,0.04906705,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,96.4,34.1,24.32632319114419,18.154768053167395
"[105.8, 37.6]",Jordan Ayew,3450.0,Left Wing,0,0,0.08637875,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,105.8,37.6,14.401388821915756,30.690038601307638
"[101.6, 33.3]",Ruben Loftus-Cheek,3504.0,Center Attacking Midfield,0,0,0.07582413,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,101.6,33.3,19.581879378650054,21.83097594982849
