shot_aerial_won,shot_first_time,under_pressure,shot_open_goal,shot_follows_dribble,goal,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty,distance,angle,shooting,body_part_rating
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4289438700427326,0.09533142584480712,0.7661097852028638,0.797160243407708
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.12183393943023625,0.28807481832683,0.5202863961813842,0.14198782961460446
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.17168156755749825,0.19555189181455845,0.928400954653938,0.16024340770791076
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4094135623193722,0.08262435726066526,0.7828162291169449,1.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.1447106522439363,0.26214814248122853,0.928400954653938,0.16024340770791076
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.19304594779516976,0.17609632888349952,0.5918854415274462,0.5943204868154158
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.47547684730467094,0.08165187828539788,0.5178997613365155,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.32970863111441967,0.12459243986757454,0.6491646778042959,0.5943204868154158
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3610467983950513,0.10940694451443225,0.6491646778042959,1.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.276323143816425,0.12120744261978124,0.6610978520286397,1.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.28264758401891743,0.11476782570044566,0.8353221957040573,0.5943204868154158
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.17897925541092977,0.16779264836506216,0.8353221957040573,0.09736308316430023
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.19207794453074287,0.15652294417741397,0.8162291169451072,1.0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.13029297236939663,0.2741986130080385,0.8162291169451072,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.380189933872677,0.11087664709492276,0.8758949880668256,1.0
1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.04628846862870619,0.5751127913672731,0.27207637231503584,0.14198782961460446
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.41223641413692214,0.10273328645213564,0.7804295942720763,1.0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.08292381490094877,0.35502572430325013,0.8520286396181382,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.1852898623145555,0.21471992293665512,0.928400954653938,0.16024340770791076
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.2536194425407661,0.10615520383120684,0.8162291169451072,1.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.23315782354132467,0.16456556383418358,0.36515513126491655,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.2447076862452922,0.1336669358721807,0.7207637231503581,0.5943204868154158
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.2375972541145619,0.1351233892576966,0.8162291169451072,1.0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.25073463864575757,0.16175600914483299,0.7804295942720763,1.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.10586057638079321,0.2826049223372912,0.8257756563245822,0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.17769223601933584,0.20414354180192776,0.7875894988066825,1.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.29712838612672643,0.11651527024769376,0.675417661097852,1.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.12949932526129532,0.27452009201253336,0.17422434367541767,0.13184584178498987
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.36165591523922014,0.11087211810548568,0.6420047732696896,1.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.48563212022557783,0.06801619842631047,0.8257756563245822,1.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.382935491680776,0.11021033301136234,0.7971360381861574,0.797160243407708
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.4468305882502196,0.07077114827537279,0.675417661097852,1.0
